indexDat	temp_A	humi_A	lightIten_A	temp_B	humi_B	lightIten_B	month	day	hour	min	sec
1	27.0	16.0	96.0	27.0	16.0	97.0	5	25	9	34	55
2	27.0	16.0	96.0	27.0	16.0	95.0	5	25	9	35	0
3	27.0	15.0	97.0	28.0	15.0	98.0	5	25	9	35	15
4	28.0	15.0	98.0	28.0	15.0	97.0	5	25	9	35	30
5	28.0	15.0	97.0	28.0	15.0	97.0	5	25	9	35	45
6	28.0	15.0	97.0	28.0	15.0	97.0	5	25	9	36	0
7	28.0	15.0	90.0	28.0	15.0	71.0	5	25	9	36	15
8	27.0	15.0	41.0	26.0	16.0	47.0	5	25	9	36	30
9	26.0	16.0	82.0	25.0	16.0	93.0	5	25	9	36	45
10	26.0	16.0	96.0	25.0	16.0	98.0	5	25	9	37	0
11	26.0	16.0	97.0	25.0	16.0	98.0	5	25	9	37	15
12	26.0	16.0	91.0	25.0	16.0	88.0	5	25	9	37	30
13	26.0	16.0	95.0	24.0	17.0	92.0	5	25	9	37	45
14	25.0	16.0	92.0	24.0	17.0	90.0	5	25	9	38	0
15	25.0	16.0	97.0	24.0	17.0	98.0	5	25	9	38	15
16	25.0	16.0	98.0	24.0	17.0	98.0	5	25	9	38	30
17	25.0	16.0	98.0	25.0	16.0	98.0	5	25	9	38	45
18	26.0	16.0	96.0	26.0	16.0	98.0	5	25	9	39	0
19	26.0	16.0	96.0	25.0	16.0	94.0	5	25	9	39	15
20	25.0	16.0	95.0	25.0	16.0	95.0	5	25	9	39	30
21	25.0	16.0	95.0	25.0	16.0	95.0	5	25	9	39	45
22	25.0	16.0	95.0	24.0	17.0	95.0	5	25	9	40	0
23	25.0	16.0	95.0	24.0	17.0	94.0	5	25	9	40	15
24	24.0	17.0	94.0	24.0	17.0	93.0	5	25	9	40	30
25	24.0	17.0	92.0	24.0	17.0	92.0	5	25	9	40	45
26	24.0	17.0	94.0	23.0	17.0	93.0	5	25	9	41	0
27	24.0	17.0	91.0	23.0	17.0	91.0	5	25	9	41	15
28	24.0	17.0	92.0	23.0	17.0	91.0	5	25	9	41	30
29	24.0	18.0	92.0	23.0	17.0	96.0	5	25	9	41	45
30	24.0	18.0	85.0	23.0	17.0	86.0	5	25	9	42	0
31	24.0	18.0	84.0	23.0	17.0	90.0	5	25	9	42	15
32	24.0	18.0	94.0	23.0	17.0	95.0	5	25	9	42	30
33	24.0	18.0	96.0	23.0	17.0	98.0	5	25	9	42	45
34	24.0	18.0	95.0	24.0	17.0	94.0	5	25	9	43	0
35	24.0	19.0	92.0	24.0	18.0	97.0	5	25	9	43	15
36	24.0	19.0	97.0	24.0	18.0	97.0	5	25	9	43	30
37	24.0	18.0	97.0	24.0	17.0	92.0	5	25	9	43	45
38	24.0	18.0	95.0	24.0	18.0	98.0	5	25	9	44	0
39	25.0	17.0	97.0	24.0	17.0	96.0	5	25	9	44	15
40	25.0	17.0	88.0	24.0	17.0	86.0	5	25	9	44	30
41	24.0	18.0	93.0	24.0	17.0	91.0	5	25	9	44	45
42	24.0	18.0	97.0	24.0	17.0	96.0	5	25	9	45	0
43	24.0	19.0	90.0	24.0	17.0	89.0	5	25	9	45	15
44	24.0	19.0	89.0	24.0	17.0	87.0	5	25	9	45	30
45	24.0	26.0	93.0	24.0	17.0	93.0	5	25	9	45	45
46	24.0	19.0	94.0	24.0	17.0	98.0	5	25	9	46	0
47	24.0	19.0	95.0	23.0	17.0	96.0	5	25	9	46	15
48	24.0	18.0	93.0	24.0	17.0	95.0	5	25	9	46	30
49	24.0	18.0	91.0	24.0	17.0	97.0	5	25	9	46	45
50	24.0	18.0	95.0	24.0	17.0	88.0	5	25	9	47	0
51	24.0	19.0	93.0	23.0	17.0	87.0	5	25	9	47	15
52	24.0	18.0	89.0	23.0	17.0	86.0	5	25	9	47	30
53	24.0	18.0	88.0	23.0	17.0	88.0	5	25	9	47	45
54	24.0	18.0	93.0	22.0	18.0	86.0	5	25	9	48	0
55	23.0	18.0	89.0	22.0	19.0	84.0	5	25	9	48	15
56	23.0	19.0	90.0	22.0	18.0	88.0	5	25	9	48	30
57	23.0	19.0	89.0	22.0	18.0	82.0	5	25	9	48	45
58	23.0	19.0	87.0	22.0	18.0	84.0	5	25	9	49	0
59	23.0	19.0	95.0	22.0	18.0	88.0	5	25	9	49	15
60	23.0	19.0	90.0	22.0	18.0	90.0	5	25	9	49	30
61	23.0	19.0	88.0	22.0	19.0	95.0	5	25	9	49	45
62	23.0	19.0	89.0	22.0	18.0	84.0	5	25	9	50	0
63	23.0	19.0	90.0	22.0	19.0	88.0	5	25	9	50	15
64	23.0	19.0	87.0	22.0	19.0	86.0	5	25	9	50	30
65	23.0	19.0	91.0	22.0	19.0	91.0	5	25	9	50	45
66	23.0	19.0	98.0	22.0	19.0	98.0	5	25	9	51	0
67	24.0	22.0	98.0	24.0	19.0	98.0	5	25	9	51	15
68	25.0	18.0	98.0	25.0	17.0	98.0	5	25	9	51	30
69	26.0	18.0	98.0	26.0	17.0	98.0	5	25	9	51	45
70	27.0	16.0	95.0	26.0	16.0	94.0	5	25	9	52	0
71	26.0	17.0	93.0	26.0	16.0	90.0	5	25	9	52	15
72	25.0	17.0	87.0	25.0	16.0	89.0	5	25	9	52	30
73	25.0	17.0	88.0	25.0	16.0	88.0	5	25	9	52	45
74	24.0	18.0	87.0	24.0	17.0	92.0	5	25	9	53	0
75	24.0	18.0	88.0	24.0	17.0	89.0	5	25	9	53	15
76	24.0	18.0	91.0	24.0	17.0	91.0	5	25	9	53	30
77	24.0	19.0	95.0	24.0	17.0	97.0	5	25	9	53	45
78	24.0	19.0	96.0	24.0	17.0	95.0	5	25	9	54	0
79	25.0	18.0	97.0	25.0	16.0	98.0	5	25	9	54	15
80	26.0	18.0	97.0	26.0	16.0	98.0	5	25	9	54	30
81	26.0	17.0	90.0	27.0	15.0	98.0	5	25	9	54	45
82	26.0	17.0	91.0	25.0	16.0	78.0	5	25	9	55	0
83	26.0	29.0	41.0	24.0	18.0	78.0	5	25	9	55	15
84	26.0	29.0	41.0	25.0	16.0	78.0	5	25	9	55	30
