Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
04/06/2020,430,22,6,47,62,65,88,78,48,36,0,207,220,3,77,15,180,80,14,64,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0
01/23/2020,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/29/2020,1046,39,43,186,195,207,193,125,41,56,0,514,494,38,450,15,143,85,43,310,0,1,1,3,4,5,8,17,0,17,22,0,15,2,13,9,0,0
03/17/2020,52,1,1,8,8,14,9,7,2,3,0,19,32,1,7,5,15,23,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
03/09/2020,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/28/2020,318,4,2,49,48,61,67,42,30,19,0,145,172,1,55,10,168,51,12,22,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,0,1,0
03/06/2020,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/12/2020,448,32,26,69,84,72,72,56,35,34,0,224,208,16,103,15,114,62,17,137,0,0,1,2,3,10,6,10,0,15,17,0,4,1,19,8,0,0
05/06/2020,956,42,53,191,177,183,157,103,47,44,1,464,448,44,363,15,118,72,31,357,0,0,1,2,6,9,10,14,0,14,28,0,11,3,13,12,1,2
03/08/2020,3,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
