,X,Y,Z,Classification
448,1175000.05,1884100.6500000001,593.11,2
594,1175000.06,1882888.02,641.8000000000001,5
597,1175000.06,1882893.85,660.39,5
751,1175000.08,1883264.37,594.0500000000001,2
1117,1175000.12,1882868.4000000001,638.79,5
1484,1175000.17,1884153.97,596.23,3
1649,1175000.19,1884936.02,633.91,5
1659,1175000.19,1884624.97,594.9,3
1948,1175000.22,1883450.0,597.0500000000001,3
2309,1175000.26,1883190.1,611.78,4
2733,1175000.32,1884638.81,597.5600000000001,3
2742,1175000.32,1884615.79,592.0500000000001,2
3423,1175000.41,1883217.22,608.54,6
3796,1175000.47,1884862.96,591.64,2
4096,1175000.51,1883022.33,657.57,5
5188,1175000.69,1884626.3800000001,623.66,5
5212,1175000.69,1883323.32,602.69,6
5354,1175000.71,1883928.7,601.66,3
5374,1175000.71,1882960.18,618.54,5
5484,1175000.73,1883965.62,617.25,6
5489,1175000.73,1883051.1300000001,665.99,5
5538,1175000.74,1884079.9100000001,592.65,2
5554,1175000.74,1883742.52,594.71,3
5612,1175000.75,1884635.59,598.67,3
5703,1175000.76,1884355.07,605.59,4
5754,1175000.77,1884928.06,629.0600000000001,5
6101,1175000.82,1884633.98,594.5500000000001,3
6155,1175000.83,1884935.25,626.53,5
6414,1175000.87,1884629.25,605.1,4
6512,1175000.8800000001,1882861.09,630.6800000000001,5
6664,1175000.91,1884391.27,610.48,4
6781,1175000.93,1884972.68,592.34,2
6845,1175000.94,1884969.1600000001,592.48,2
7313,1175001.01,1884641.8800000001,625.25,5
8059,1175001.1400000001,1884615.54,596.29,3
8658,1175001.24,1884556.51,615.5,5
9010,1175001.29,1884623.01,613.99,5
9225,1175001.32,1883434.6,605.37,6
9388,1175001.35,1884947.24,639.6,5
9398,1175001.35,1884641.85,633.09,5
9555,1175001.37,1884571.9100000001,592.69,2
9595,1175001.37,1882874.73,649.08,5
10173,1175001.45,1883009.34,620.46,5
10229,1175001.46,1883043.1300000001,660.28,5
10297,1175001.47,1883696.6600000001,606.8100000000001,6
10452,1175001.49,1882946.27,625.4300000000001,5
10453,1175001.49,1882946.47,616.02,5
10502,1175001.5,1883272.82,603.07,6
10795,1175001.55,1883951.68,602.7,6
10805,1175001.55,1883294.44,603.1800000000001,6
