location_x,location_y
0.039733119,-0.008957061
-0.012588376,-0.0091401609
-0.045986537,-0.018880449
-0.087830029,-0.024467871
-0.14759545,-0.030987097
-0.21022607,-0.031978179
-0.286268,-0.036832422
-0.37043905,-0.038763043
-0.47199345,-0.041887235
-0.5868609,-0.047664318
-0.73024577,-0.057529595
-0.89274246,-0.068773605
-1.1015717,-0.080397531
-1.3336562,-0.088369042
-1.5798278,-0.10432598
-1.849757,-0.12462421
-2.13239,-0.13683991
-2.4261453,-0.15116861
-2.7445767,-0.16586809
-3.0687513,-0.18550524
-3.4142325,-0.20300101
-3.7892933,-0.2234177
-4.1661386,-0.24581142
-4.5595093,-0.26394501
-4.9758935,-0.28432468
-5.4021816,-0.30579835
-5.8588543,-0.32575974
-6.3250875,-0.34622392
-6.8076777,-0.36835203
-7.3083615,-0.39502895
-7.8136225,-0.41578805
-8.3546438,-0.44250509
-8.9017429,-0.46606055
-9.4717903,-0.48946753
-10.051106,-0.51636147
-10.650525,-0.54580724
-11.270355,-0.57234722
-11.896538,-0.60328108
-12.509212,-0.63601667
-13.129863,-0.66642118
-13.755075,-0.69368261
-14.388681,-0.72189611
-14.980783,-0.74995917
-15.591246,-0.77861261
-16.213902,-0.8064158
-16.809551,-0.83187497
-17.424911,-0.86632466
-18.035885,-0.8913675
-18.645273,-0.92393744
-19.251884,-0.95234799
-19.851809,-0.98120368
-20.467922,-1.0098054
-21.066572,-1.0370401
-21.660645,-1.0664825
-22.253719,-1.0928055
-22.867983,-1.1261618
-23.465353,-1.1548324
-24.075237,-1.1841747
-24.654367,-1.2102838
-25.26063,-1.2400453
-25.866497,-1.2702967
-26.455669,-1.2988865
-27.059893,-1.3271173
-27.663313,-1.3541335
-28.259779,-1.384259
-28.852257,-1.4133251
-29.450775,-1.4411311
-30.054897,-1.4687831
-30.673601,-1.4979721
-31.276108,-1.527377
-31.870733,-1.5551418
-32.476765,-1.5859411
-33.082851,-1.6146433
-33.707447,-1.6423078
-34.304119,-1.6721494
-34.882561,-1.7013674
-35.486412,-1.727639
-36.088577,-1.758684
-36.718525,-1.7872477
-37.289776,-1.8121227
-37.909065,-1.843322
-38.493706,-1.8740025
-39.090637,-1.9031755
-39.698246,-1.9322965
-40.31945,-1.9620234
-40.914898,-1.9901994
-41.52523,-2.0211537
-42.127434,-2.0495687
-42.739803,-2.0783441
-43.346771,-2.1063154
-43.963764,-2.1348472
-44.574894,-2.1664886
-45.15535,-2.1936035
-45.750309,-2.2244189
-46.349056,-2.2518892
-46.950439,-2.2824781
-47.55217,-2.309284
-48.1572,-2.3390601
-48.745869,-2.3674018
-49.354237,-2.3977334
-49.950184,-2.4264469
-50.546066,-2.4528546
-51.150097,-2.482965
-51.756451,-2.5138562
-52.359783,-2.5416589
-52.942455,-2.5713933
-53.540253,-2.5995231
-54.164673,-2.6287131
-54.761784,-2.6583083
-55.352886,-2.6850171
-55.963665,-2.7162521
-56.558704,-2.7457802
-57.150551,-2.7742085
-57.755951,-2.8045635
-58.367012,-2.8338268
-58.975018,-2.8649013
-59.569576,-2.8926098
-60.18029,-2.9231551
-60.783131,-2.9517944
-61.386215,-2.9795363
-61.997963,-3.0096402
-62.594894,-3.0399542
-63.200008,-3.0689445
-63.799355,-3.0983255
-64.406052,-3.1278393
-65.004105,-3.1568079
-65.604874,-3.1887813
-66.198753,-3.2163808
-66.800735,-3.2445779
-67.400238,-3.2736285
-68.008354,-3.3027253
-68.600555,-3.3317521
-69.213699,-3.3613496
-69.828316,-3.3909209
-70.441093,-3.422117
-71.040863,-3.4487541
-71.651245,-3.4797885
-72.263809,-3.509001
